Symbol,Symbol,Name,AtomicNumber,AtomicWeight,Density,MeltingPoint,BoilingPoint,Electronegativity,Discovered
Ra,Ra,Radium,88,226,5.5,1233,2010,0.9,1898
Ac,Ac,Actinium,89,227,10,1500,3500,1.1,1902
Th,Th,Thorium,90,232.038,11.724,2023,5061,1.3,1829
Pa,Pa,Protactinium,91,231.036,15.37,1841,4300,1.5,1913
U,U,Uranium,92,238.029,19.1,1405.3,4404,1.38,1789
Np,Np,Neptunium,93,237,20.45,912,4447,1.36,1940
Pu,Pu,Plutonium,94,244,19.816,912.5,3505,1.28,1940
Am,Am,Americium,95,243,12,1449,2880,1.13,1944
Cm,Cm,Curium,96,247,13.51,1613,3383,1.28,1944
Bk,Bk,Berkelium,97,247,14.78,1259,2900,1.3,1949
Cf,Cf,Californium,98,251,15.1,1173,1743,1.3,1950
Es,Es,Einsteinium,99,252,8.84,1133,1269,1.3,1952
Fm,Fm,Fermium,100,257,,1800,,1.3,1952
Md,Md,Mendelevium,101,258,,1100,,1.3,1955
No,No,Nobelium,102,259,,1100,,1.3,1966
Lr,Lr,Lawrencium,103,262,,1900,,1.3,1961
Rf,Rf,Rutherfordium,104,261,23.2,2400,5800,,1969
Db,Db,Dubnium,105,268,29.3,,,,1970
Sg,Sg,Seaborgium,106,269,35,,,,1974
Bh,Bh,Bohrium,107,270.133,37.1,,,,1981
Hs,Hs,Hassium,108,269,40.7,126,,,1984
Mt,Mt,Meitnerium,109,277.154,37.4,,,,1982
Ds,Ds,Darmstadtium,110,281,34.8,,,,1994
Rg,Rg,Roentgenium,111,281,28.7,,,,1994
Cn,Cn,Copernicium,112,285,23.7,,3570,,1996
Nh,Nh,Nihonium,113,286,16,700,1430,,2003
Fl,Fl,Flerovium,114,289,14,340,420,,1999
Mc,Mc,Moscovium,115,288,13.5,670,1400,,2003
Lv,Lv,Livermorium,116,293,12.9,709,1085,,2000
Ts,Ts,Tennessine,117,294,7.17,723,883,,2009
Og,Og,Oganesson,118,294,4.95,,350,,2002
